iter	RMSE
0	0.8987195685
1	0.8934815821
2	0.8872389555
3	0.8817264832
4	0.8765970803
5	0.8723466317
6	0.8682734882
7	0.8625329163
8	0.8578767139
9	0.8516042119
10	0.8460360475
11	0.8411910121
12	0.8367066833
13	0.8321156182
14	0.8282063696
15	0.8236936547
16	0.8189174738
17	0.8150902629
18	0.8108778456
19	0.806852861
20	0.8019537845
21	0.7984485506
22	0.7935235639
23	0.7898150314
24	0.7861238308
25	0.7812910195
26	0.7773531239
27	0.7730481821
28	0.7681625748
29	0.764303511
30	0.7598197992
31	0.7566390634
32	0.7528438499
33	0.7493254341
34	0.745195778
35	0.7417131054
36	0.7380440511
37	0.7344348495
38	0.7309169631
39	0.725850972
40	0.7221916859
41	0.7181112114
42	0.7145725076
43	0.7117745719
44	0.7075689018
45	0.7041842531
46	0.7006402753
47	0.6967923497
48	0.692533747
49	0.6882604508
50	0.6841669694
51	0.6800294403
52	0.6764771445
53	0.6723162131
54	0.6682012778
55	0.6647136584
56	0.6613395138
57	0.6581545633
58	0.6547559696
59	0.6508164365
60	0.6481489692
61	0.6451573463
62	0.6411901456
63	0.637904003
64	0.6350943598
65	0.6317302442
66	0.6284856154
67	0.6246723027
68	0.6219810621
69	0.6192528827
70	0.6166277997
71	0.6133894706
72	0.6104074169
73	0.6072242369
74	0.6041362829
75	0.6016836255
76	0.5990383658
77	0.5964182566
78	0.5936308958
79	0.590132077
80	0.5867632694
81	0.5839816134
82	0.581213384
83	0.5775388533
84	0.574525945
85	0.5717586816
86	0.5693908508
87	0.5666962608
88	0.5634023913
89	0.5599144093
90	0.5570558435
91	0.5546518304
92	0.5519724777
93	0.5492826949
94	0.5465214458
95	0.5431833116
96	0.540433817
97	0.5379080996
98	0.535294049
99	0.5322799803
100	0.5293333671
101	0.5267306366
102	0.5241053294
103	0.5215198902
104	0.5190286745
105	0.5169338179
106	0.5143630175
107	0.5116225607
108	0.5091361748
109	0.5066887996
110	0.5042601975
111	0.5018265428
112	0.4994061938
113	0.4969397541
114	0.4945113265
115	0.4917973794
116	0.489726777
117	0.4875926146
118	0.4852436275
119	0.4832033354
120	0.4812193789
121	0.478716745
122	0.4766325874
123	0.4746219454
124	0.4723205216
125	0.4699975983
126	0.4674311533
127	0.4652342536
128	0.4629931769
129	0.4605600072
130	0.4585581036
131	0.4563138338
132	0.453750679
133	0.4515781711
134	0.4494287587
135	0.44748247
136	0.4455885402
137	0.4434642521
138	0.4415481603
139	0.4394341494
140	0.4372904823
141	0.4354005513
142	0.4332776072
143	0.4310498536
144	0.4292236835
145	0.4271356571
146	0.4250951995
147	0.4230291102
148	0.4210094185
149	0.4189721534
150	0.4170070274
151	0.4150171011
152	0.4130100231
153	0.4110396197
154	0.4090855525
155	0.4073468488
156	0.4053775888
157	0.4036269451
158	0.4016701737
159	0.3999380037
160	0.3980001554
161	0.3961033407
162	0.3941858061
163	0.3922786761
164	0.3905954619
165	0.3889208652
166	0.3870688768
167	0.3850265556
168	0.3831675497
169	0.3813186159
170	0.3795107792
171	0.3776809676
172	0.3758857702
